"Date ","Closing Price ","Open ","Daily High ","Daily Low "
"8/16/2016 ",4896,4798,4915,4788
"8/15/2016 ",4820,4733,4825,4681
"8/12/2016 ",4689,4616,4699,4571
"8/11/2016 ",4602,4396,4631,4344
"8/10/2016 ",4430,4465,4564,4409
"8/9/2016 ",4503,4488,4573,4477
"8/8/2016 ",4564,4446,4568,4444
"8/5/2016 ",4396,4406,4449,4349
"8/4/2016 ",4417,4309,4433,4249
"8/3/2016 ",4304,4170,4330,4160
"8/2/2016 ",4168,4242,4318,4147
"8/1/2016 ",4201,4354,4361,4186
"7/29/2016 ",4229,4241,4247,4177
"7/28/2016 ",4270,4348,4358,4254
"7/27/2016 ",4358,4464,4493,4337
"7/26/2016 ",4475,4489,4495,4413
"7/25/2016 ",4471,4567,4567,4453
"7/22/2016 ",4526,4588,4647,4516
"7/21/2016 ",4655,4747,4754,4626
"7/20/2016 ",4721,4661,4752,4588
"7/19/2016 ",4682,4690,4752,4653
"7/18/2016 ",4692,4761,4783,4645
"7/15/2016 ",4769,4686,4806,4664
"7/14/2016 ",4722,4681,4744,4634
"7/13/2016 ",4624,4765,4817,4616
"7/12/2016 ",4829,4651,4857,4645
"7/11/2016 ",4631,4642,4711,4588
"7/8/2016 ",4678,4678,4722,4612
"7/7/2016 ",4662,4899,4960,4617
"7/6/2016 ",4867,4805,4871,4717
"7/5/2016 ",4777,4958,4958,4752
"7/4/2016 ",5011,5062,5072,5001
"7/1/2016 ",4989,5001,5017,4923
"6/30/2016 ",4975,5010,5032,4945
"6/29/2016 ",5019,4891,5025,4862
"6/28/2016 ",4833,4791,4857,4751
"6/27/2016 ",4680,4885,4893,4668
"6/24/2016 ",4868,4836,4917,4805
"6/23/2016 ",5054,5007,5089,4998
"6/22/2016 ",4944,5103,5127,4915
"6/21/2016 ",5020,5020,5042,4945
"6/20/2016 ",5038,4980,5057,4970
"6/17/2016 ",4869,4771,4890,4771
"6/16/2016 ",4746,4844,4854,4706
"6/15/2016 ",4926,4941,4978,4867
"6/14/2016 ",4960,4993,5004,4947
"6/13/2016 ",5016,4993,5076,4959
"6/10/2016 ",5073,5145,5158,5058
"6/9/2016 ",5202,5262,5262,5152
"6/8/2016 ",5239,5139,5252,5129
"6/7/2016 ",5115,5053,5131,5041
"6/6/2016 ",5026,4999,5083,4994
"6/3/2016 ",4949,5022,5034,4928
"6/2/2016 ",4996,4976,5028,4883
"6/1/2016 ",4959,4934,4999,4864
"5/31/2016 ",4977,4954,5006,4922
"5/30/2016 ",4967,4910,4984,4888
"5/27/2016 ",4921,4915,4946,4867
"5/26/2016 ",4973,5024,5054,4926
"5/25/2016 ",4952,4918,4969,4892
"5/24/2016 ",4876,4795,4909,4795
"5/23/2016 ",4823,4826,4846,4775
"5/20/2016 ",4871,4913,4939,4806
"5/19/2016 ",4860,4825,4866,4738
"5/18/2016 ",4952,4932,4981,4886
"5/17/2016 ",4896,4931,4957,4857
"5/13/2016 ",4784,4764,4811,4726
"5/12/2016 ",4788,4762,4810,4679
"5/11/2016 ",4736,4519,4745,4481
"5/10/2016 ",4531,4427,4536,4379
"5/9/2016 ",4387,4588,4626,4358
"5/6/2016 ",4552,4470,4610,4416
"5/5/2016 ",4485,4566,4675,4462
"5/4/2016 ",4441,4512,4597,4420
"5/3/2016 ",4488,4632,4643,4461
"5/2/2016 ",4585,4674,4730,4574
"4/29/2016 ",4779,4821,4852,4741
"4/28/2016 ",4805,4684,4807,4680
"4/27/2016 ",4659,4638,4703,4563
"4/26/2016 ",4574,4476,4596,4462
"4/25/2016 ",4545,4477,4555,4425
"4/22/2016 ",4525,4502,4584,4427
"4/21/2016 ",4479,4563,4619,4465
"4/20/2016 ",4545,4314,4582,4284
"4/19/2016 ",4391,4372,4450,4307
"4/18/2016 ",4286,4100,4336,4097
"4/15/2016 ",4329,4390,4408,4238
"4/14/2016 ",4411,4342,4461,4334
"4/13/2016 ",4454,4389,4493,4383
"4/12/2016 ",4452,4271,4472,4271
"4/11/2016 ",4259,4170,4303,4143
"4/8/2016 ",4156,4011,4198,4010
"4/7/2016 ",3916,4023,4023,3867
"4/6/2016 ",3965,3846,3988,3839
"4/5/2016 ",3759,3750,3786,3725
"4/4/2016 ",3798,,3931,3648
"4/1/2016 ",3901,,,
"3/23/2016 ",4116,4066,4098,4008
"3/21/2016 ",4223,4154,4254,4114
"3/18/2016 ",4143,4152,4254,4109
"3/17/2016 ",4147,4059,4159,4046
"3/16/2016 ",4028,3909,4042,3883
"3/15/2016 ",3898,3908,3915,3834
"3/14/2016 ",3970,4024,4028,3885
"3/11/2016 ",4042,4079,4103,4003
"3/10/2016 ",4015,4076,4098,3965
"3/9/2016 ",4089,3992,4110,3969
"3/8/2016 ",3942,4036,4147,3942
"3/7/2016 ",4076,3933,4103,3889
"3/4/2016 ",3892,3728,3893,3684
"3/3/2016 ",3717,3674,3734,3636
"3/2/2016 ",3716,3689,3734,3612
"3/1/2016 ",3685,3688,3724,3596
"2/29/2016 ",3658,3552,3673,3510
"2/26/2016 ",3553,3554,3726,3527
"2/25/2016 ",3550,3475,3611,3389
"2/24/2016 ",3510,3369,3530,3310
"2/23/2016 ",3410,3480,3563,3373
"2/22/2016 ",3537,3409,3555,3403
"2/19/2016 ",3387,3466,3502,3334
"2/18/2016 ",3443,3524,3629,3440
"2/17/2016 ",3431,3214,3482,3183
"2/16/2016 ",3230,3488,3554,3193
"2/15/2016 ",3396,3329,3403,3282
"2/12/2016 ",3275,3144,3343,3088
"2/11/2016 ",3129,3072,3135,2993
"2/10/2016 ",3093,3083,3187,3036
"2/9/2016 ",3089,3283,3355,3030
"2/8/2016 ",3298,3433,3467,3278
"2/5/2016 ",3412,3433,3512,3382
"2/4/2016 ",3446,3564,3579,3418
"2/3/2016 ",3525,3254,3528,3254
"2/2/2016 ",3261,3364,3398,3226
"2/1/2016 ",3394,3527,3605,3394
"1/29/2016 ",3585,3550,3616,3459
"1/28/2016 ",3533,3345,3674,3345
"1/27/2016 ",3358,3222,3431,3162
"1/26/2016 ",3235,3047,3350,3013
"1/25/2016 ",3089,3315,3315,3089
"1/22/2016 ",3282,3122,3295,3086
"1/21/2016 ",3009,2846,3041,2802
"1/20/2016 ",2887,2893,2921,2784
"1/19/2016 ",2884,2919,3024,2862
"1/18/2016 ",2879,2830,2956,2807
"1/15/2016 ",2915,3028,3049,2886
"1/14/2016 ",3104,3036,3118,2998
"1/13/2016 ",3034,3112,3183,2997
"1/12/2016 ",3127,3094,3266,3057
"1/11/2016 ",3160,3290,3372,3156
"1/8/2016 ",3377,3491,3504,3319
"1/7/2016 ",3407,3327,3508,3256
"1/6/2016 ",3472,3692,3696,3453
"1/5/2016 ",3677,3762,3776,3671
"1/4/2016 ",3735,3795,3898,3681
"12/31/2015 ",3761,3664,3794,3611
"12/30/2015 ",3658,3740,3750,3636
"12/29/2015 ",3779,3670,3797,3662
"12/28/2015 ",3658,3772,3772,3653
"12/25/2015 ",3792,3792,3792,3792
"12/24/2015 ",3792,3764,3810,3696
"12/23/2015 ",3778,3650,3788,3638
"12/22/2015 ",3620,3648,3672,3600
"12/21/2015 ",3622,3640,3675,3605
"12/18/2015 ",3668,3714,3772,3642
"12/17/2015 ",3687,3722,3792,3684
"12/16/2015 ",3746,3836,3842,3721
"12/15/2015 ",3853,3808,3969,3783
"12/14/2015 ",3802,3817,3866,3676
"12/11/2015 ",3828,3999,4013,3774
"12/10/2015 ",3987,4083,4095,3983
"12/9/2015 ",4052,4118,4173,3981
"12/8/2015 ",4060,4141,4182,4020
"12/7/2015 ",4123,4325,4349,4111
"12/4/2015 ",4313,4380,4481,4269
"12/3/2015 ",4388,4310,4467,4293
"12/2/2015 ",4268,4423,4461,4244
"12/1/2015 ",4431,4481,4517,4404
"11/30/2015 ",4453,4466,4574,4445
"11/27/2015 ",4488,4518,4552,4481
"11/26/2015 ",4562,4601,4609,4502
"11/25/2015 ",4624,4632,4632,4504
"11/24/2015 ",4605,4507,4650,4506
"11/23/2015 ",4493,4385,4570,4358
"11/20/2015 ",4448,4424,4550,4407
"11/19/2015 ",4411,4449,4476,4371
"11/18/2015 ",4419,4395,4474,4335
"11/17/2015 ",4368,4467,4510,4351
"11/16/2015 ",4488,4476,4517,4316
"11/13/2015 ",4448,4535,4595,4417
"11/12/2015 ",4514,4683,4702,4507
"11/11/2015 ",4669,4777,4836,4644
"11/10/2015 ",4803,4801,4852,4768
"11/9/2015 ",4799,4851,4913,4777
"11/6/2015 ",4838,4907,4934,4805
"11/5/2015 ",4888,4947,4977,4874
"11/4/2015 ",4954,5120,5162,4931
"11/3/2015 ",5049,4869,5090,4847
"11/2/2015 ",4878,4961,4965,4862
"10/30/2015 ",4946,4854,5000,4829
"10/29/2015 ",4858,4873,4938,4818
"10/28/2015 ",4919,4682,4923,4662
"10/27/2015 ",4698,4724,4749,4642
"10/26/2015 ",4735,4800,4832,4732
"10/23/2015 ",4796,4845,4865,4747
"10/22/2015 ",4823,4814,4870,4767
"10/21/2015 ",4786,4850,4862,4755
"10/20/2015 ",4865,4873,4918,4824
"10/19/2015 ",4875,5019,5033,4858
"10/16/2015 ",5041,5028,5066,4933
"10/15/2015 ",5011,4977,5013,4871
"10/14/2015 ",4972,4982,5000,4921
"10/13/2015 ",4957,5054,5113,4935
"10/12/2015 ",5063,5323,5361,5019
"10/9/2015 ",5278,5411,5436,5251
"10/8/2015 ",5353,5187,5385,5177
"10/7/2015 ",5217,5315,5357,5170
"10/6/2015 ",5257,5003,5258,4949
"10/5/2015 ",4943,4839,4985,4824
"10/2/2015 ",4822,4809,4849,4695
"10/1/2015 ",4800,4876,4982,4764
"9/30/2015 ",4856,4797,4895,4781
"9/29/2015 ",4822,4736,4861,4731
"9/28/2015 ",4735,4808,4839,4729
"9/25/2015 ",4842,4856,4910,4788
"9/24/2015 ",4828,4799,4845,4741
"9/23/2015 ",4781,4885,5025,4770
"9/22/2015 ",4898,4843,4917,4771
"9/21/2015 ",4877,4802,4898,4763
"9/18/2015 ",4771,4909,4975,4718
"9/17/2015 ",4916,4990,5014,4834
"9/16/2015 ",4984,4784,5031,4779
"9/15/2015 ",4791,4740,4794,4703
"9/14/2015 ",4744,4867,4891,4726
"9/11/2015 ",4905,4978,4991,4812
"9/10/2015 ",4969,4822,4990,4806
"9/9/2015 ",4865,5069,5087,4843
"9/8/2015 ",5036,4873,5070,4864
"9/7/2015 ",4862,5004,5026,4839
"9/4/2015 ",5044,5105,5176,5025
"9/3/2015 ",5080,5037,5243,4991
"9/2/2015 ",5041,4853,5100,4776
"9/1/2015 ",4931,5274,5345,4906
"8/31/2015 ",5338,4923,5428,4826
"8/28/2015 ",5007,4831,5097,4663
"8/27/2015 ",4686,4416,4763,4400
"8/26/2015 ",4361,4350,4372,4285
"8/25/2015 ",4294,4322,4445,4277
"8/24/2015 ",4252,4429,4448,4224
"8/21/2015 ",4538,4609,4651,4509
"8/20/2015 ",4619,4693,4737,4617
"8/19/2015 ",4686,4855,4910,4683
"8/18/2015 ",4852,4864,4905,4827
"8/17/2015 ",4871,4860,4944,4836
"8/14/2015 ",4866,4959,4983,4866
"8/13/2015 ",4962,5042,5083,4926
"8/12/2015 ",5024,4953,5053,4934
"8/11/2015 ",4995,5079,5168,4920
"8/10/2015 ",5077,4896,5109,4895
"8/7/2015 ",4922,5034,5061,4907
"8/6/2015 ",5019,5028,5032,4946
"8/5/2015 ",5032,5101,5152,4960
"8/4/2015 ",5011,4971,5045,4959
"8/3/2015 ",4964,5167,5181,4941
"7/31/2015 ",5184,5304,5334,5163
"7/30/2015 ",5332,5354,5436,5303
"7/29/2015 ",5363,5314,5427,5252
"7/28/2015 ",5309,5311,5406,5230
"7/27/2015 ",5293,5455,5489,5292
"7/24/2015 ",5478,5551,5552,5431
"7/23/2015 ",5525,5607,5652,5512
"7/22/2015 ",5597,5653,5687,5593
"7/21/2015 ",5709,5652,5743,5634
"7/20/2015 ",5652,5704,5743,5634
"7/17/2015 ",5709,5705,5734,5641
"7/16/2015 ",5704,5739,5798,5687
"7/15/2015 ",5720,5879,5890,5695
"7/14/2015 ",5856,5733,5894,5677
"7/13/2015 ",5830,5771,5913,5717
"7/10/2015 ",5892,5948,5990,5815
"7/9/2015 ",5889,5817,5947,5762
"7/8/2015 ",5767,5678,5816,5636
"7/7/2015 ",5783,5758,5829,5561
"7/6/2015 ",5680,5949,5990,5639
"7/3/2015 ",6056,6187,6195,6014
"7/2/2015 ",6183,6227,6320,6179
"7/1/2015 ",6210,6286,6334,6185
"6/30/2015 ",6350,6204,6383,6189
"6/29/2015 ",6193,6240,6295,6136
"6/26/2015 ",6316,6354,6358,6252
"6/25/2015 ",6327,6352,6395,6274
"6/24/2015 ",6358,6444,6504,6302
"6/23/2015 ",6459,6338,6489,6280
"6/22/2015 ",6322,6311,6374,6211
"6/19/2015 ",6285,6421,6453,6236
"6/18/2015 ",6410,6365,6496,6345
"6/17/2015 ",6377,6378,6545,6261
"6/16/2015 ",6375,6431,6440,6344
"6/15/2015 ",6389,6444,6476,6339
"6/12/2015 ",6456,6539,6559,6453
"6/11/2015 ",6565,6624,6670,6523
"6/10/2015 ",6628,6614,6693,6570
"6/9/2015 ",6521,6348,6575,6331
"6/8/2015 ",6334,6358,6403,6304
"6/5/2015 ",6388,6275,6409,6169
"6/4/2015 ",6289,6444,6473,6250
"6/3/2015 ",6388,6512,6529,6351
"6/2/2015 ",6564,6480,6581,6460
"6/1/2015 ",6501,6515,6571,6427
"5/29/2015 ",6541,6299,6582,6271
"5/28/2015 ",6271,6254,6282,6129
"5/27/2015 ",6228,6412,6462,6201
"5/26/2015 ",6391,6558,6565,6329
"5/25/2015 ",6586,6525,6622,6473
"5/22/2015 ",6553,6638,6661,6511
"5/21/2015 ",6648,6532,6686,6516
"5/20/2015 ",6479,6449,6516,6413
"5/19/2015 ",6422,6619,6620,6396
"5/18/2015 ",6637,6688,6785,6594
"5/15/2015 ",6692,6665,6699,6538
"5/14/2015 ",6671,6713,6781,6627
"5/13/2015 ",6691,6782,6851,6688
"5/12/2015 ",6702,6547,6765,6542
"5/11/2015 ",6564,6624,6650,6503
"5/8/2015 ",6627,6603,6681,6503
"5/7/2015 ",6608,6813,6915,6590
"5/6/2015 ",6821,6903,7030,6811
"5/5/2015 ",6823,6720,6910,6692
"5/4/2015 ",6644,6641,6708,6596
"5/1/2015 ",6664,6670,6692,6553
"4/30/2015 ",6676,6550,6692,6541
"4/29/2015 ",6559,6453,6668,6414
"4/28/2015 ",6465,6413,6547,6396
"4/27/2015 ",6469,6523,6560,6443
"4/24/2015 ",6532,6458,6576,6450
"4/23/2015 ",6485,6280,6555,6223
"4/22/2015 ",6290,6142,6329,6140
"4/21/2015 ",6210,6322,6345,6168
"4/20/2015 ",6345,6411,6434,6211
"4/17/2015 ",6369,6346,6448,6315
"4/16/2015 ",6392,6308,6483,6201
"4/15/2015 ",6284,6029,6341,6021
"4/14/2015 ",5979,5947,6043,5898
"4/13/2015 ",5910,5898,6054,5857
"4/10/2015 ",5908,5783,5919,5733
"4/9/2015 ",5782,5721,5913,5714
"4/8/2015 ",5719,5940,5974,5663
"4/7/2015 ",6010,5880,6031,5819
"4/6/2015 ",5899,5677,5941,5677
"4/3/2015 ",5622,5622,5622,5622
"4/2/2015 ",5521,5678,5726,5403
"4/1/2015 ",5679,5488,5766,5471
"3/31/2015 ",5514,5577,5607,5473
"3/30/2015 ",5623,5609,5665,5521
"3/27/2015 ",5618,5839,5867,5596
"3/26/2015 ",5906,5814,5975,5754
"3/25/2015 ",5637,5501,5715,5475
"3/24/2015 ",5532,5559,5679,5486
"3/23/2015 ",5582,5465,5618,5414
"3/20/2015 ",5520,5433,5563,5356
"3/19/2015 ",5440,5548,5558,5393
"3/18/2015 ",5621,5304,5683,5270
"3/17/2015 ",5328,5403,5404,5260
"3/16/2015 ",5415,5469,5501,5266
"3/13/2015 ",5479,5732,5739,5478
"3/12/2015 ",5727,5839,5914,5676
"3/11/2015 ",5823,5714,5824,5637
"3/10/2015 ",5699,5885,5886,5662
"3/9/2015 ",5907,5994,6050,5895
"3/6/2015 ",6024,6128,6172,5971
"3/5/2015 ",6108,6130,6209,6062
"3/4/2015 ",6034,6058,6091,5952
"3/3/2015 ",6104,6037,6180,5984
"3/2/2015 ",5986,6221,6230,5935
"2/27/2015 ",6207,6157,6282,6082
"2/26/2015 ",6059,6166,6261,5966
"2/25/2015 ",6166,5892,6174,5844
"2/24/2015 ",5864,5860,6022,5811
"2/23/2015 ",5893,6019,6060,5842
"2/20/2015 ",6009,6053,6113,5984
"2/19/2015 ",6018,5949,6097,5785
"2/18/2015 ",6005,6219,6235,5990
"2/17/2015 ",6218,6211,6298,6030
"2/16/2015 ",6163,6157,6253,6073
"2/13/2015 ",6137,6027,6171,5970
"2/12/2015 ",5930,5656,5991,5653
"2/11/2015 ",5635,5759,5809,5518
"2/10/2015 ",5800,5857,5958,5722
"2/9/2015 ",5920,5889,6035,5832
"2/6/2015 ",5893,5882,5989,5807
"2/5/2015 ",5781,5441,5870,5426
"2/4/2015 ",5580,5889,5892,5457
"2/3/2015 ",5872,5628,6005,5620
"2/2/2015 ",5480,5183,5537,5146
"1/30/2015 ",5229,4882,5303,4882
"1/29/2015 ",4911,4863,4925,4838
"1/28/2015 ",4846,4897,4969,4834
"1/27/2015 ",4920,4795,4996,4770
"1/26/2015 ",4810,4816,4927,4758
"1/23/2015 ",4873,4938,4975,4860
"1/22/2015 ",4882,4901,5044,4805
"1/21/2015 ",4884,4824,4958,4822
"1/20/2015 ",4819,4865,4947,4781
"1/19/2015 ",4889,5033,5033,4869
"1/16/2015 ",4999,4849,5030,4829
"1/15/2015 ",4814,4917,5236,4809
"1/14/2015 ",4970,4692,5036,4680
"1/13/2015 ",4831,4727,4850,4641
"1/12/2015 ",4865,5034,5046,4849
"1/9/2015 ",5120,5212,5225,5013
"1/8/2015 ",5218,5232,5271,5095
"1/7/2015 ",5199,5134,5279,5068
"1/6/2015 ",5184,5398,5401,5156
"1/5/2015 ",5281,5535,5583,5272
"1/2/2015 ",5629,5755,5758,5548
"12/31/2014 ",5756,5715,5764,5583
"12/30/2014 ",5751,5731,5838,5676
"12/26/2014 ",5952,6017,6095,5929
"12/25/2014 ",6017,6017,6017,6017
"12/24/2014 ",6017,6126,6159,5939
"12/23/2014 ",6159,6008,6211,5987
"12/22/2014 ",6004,6246,6295,5987
"12/19/2014 ",6228,5941,6266,5908
"12/18/2014 ",5955,6129,6364,5920
"12/17/2014 ",6073,5986,6340,5874
"12/16/2014 ",6000,6082,6121,5852
"12/15/2014 ",6061,6274,6346,6041
"12/12/2014 ",6198,6362,6394,6176
"12/11/2014 ",6392,6475,6536,6381
"12/10/2014 ",6496,6651,6670,6386
"12/9/2014 ",6714,6596,6739,6574
"12/8/2014 ",6662,6874,6887,6641
"12/5/2014 ",6920,6972,7022,6856
"12/4/2014 ",6951,7028,7044,6888
"12/3/2014 ",6998,7085,7145,6951
"12/2/2014 ",7092,7208,7302,7042
"12/1/2014 ",7294,6850,7301,6757
"11/28/2014 ",7011,7129,7339,6998
"11/27/2014 ",7286,7654,7674,7132
"11/26/2014 ",7760,7840,7886,7732
"11/25/2014 ",7816,7948,8043,7806
"11/24/2014 ",7962,8054,8070,7951
"11/21/2014 ",8055,7961,8161,7908
"11/20/2014 ",7931,7820,7946,7760
"11/19/2014 ",7820,7851,7945,7806
"11/18/2014 ",7840,7891,7993,7823
"11/17/2014 ",7910,7860,7938,7795
"11/14/2014 ",7960,7730,7974,7678
"11/13/2014 ",7793,8097,8097,7734
"11/12/2014 ",8057,8167,8239,8056
"11/11/2014 ",8189,8270,8298,8128
"11/10/2014 ",8280,8426,8550,8265
"11/7/2014 ",8362,8292,8439,8280
"11/6/2014 ",8338,8360,8380,8264
"11/5/2014 ",8380,8271,8497,8222
"11/4/2014 ",8322,8462,8463,8268
"11/3/2014 ",8429,8554,8637,8419
"10/31/2014 ",8588,8619,8624,8462
"10/30/2014 ",8602,8698,8704,8572
"10/29/2014 ",8690,8650,8793,8621
"10/28/2014 ",8620,8562,8633,8512
"10/27/2014 ",8539,8600,8624,8456
"10/24/2014 ",8629,8656,8673,8541
"10/23/2014 ",8678,8487,8716,8415
"10/22/2014 ",8466,8630,8704,8448
"10/21/2014 ",8625,8539,8645,8533
"10/20/2014 ",8540,8623,8659,8442
"10/17/2014 ",8624,8632,8730,8550
"10/16/2014 ",8563,8315,8766,8296
"10/15/2014 ",8407,8573,8598,8376
"10/14/2014 ",8538,8883,8928,8488
"10/13/2014 ",8863,8943,8957,8842
"10/10/2014 ",9021,8894,9083,8894
"10/9/2014 ",8990,9198,9220,8990
"10/8/2014 ",9205,9144,9220,9106
"10/7/2014 ",9242,9322,9349,9195
"10/6/2014 ",9303,9190,9321,9127
"10/3/2014 ",9210,9227,9275,9151
"10/2/2014 ",9365,9406,9416,9163
"10/1/2014 ",9416,9505,9619,9379
"9/30/2014 ",9483,9726,9779,9434
"9/29/2014 ",9712,9665,9733,9630
"9/26/2014 ",9700,9696,9750,9647
"9/25/2014 ",9711,9684,9755,9626
"9/24/2014 ",9718,9680,9733,9564
"9/23/2014 ",9683,9724,9759,9658
"9/22/2014 ",9694,9791,9806,9642
"9/19/2014 ",9835,9764,9848,9720
"9/18/2014 ",9767,9838,9914,9743
"9/17/2014 ",9879,9892,9960,9853
"9/16/2014 ",9893,9794,9941,9745
"9/15/2014 ",9793,9739,9839,9706
"9/12/2014 ",9780,9780,9780,9661
"9/11/2014 ",9921,9891,9921,9751
"9/10/2014 ",9910,10020,10021,9850
"9/9/2014 ",9930,10021,10061,9920
"9/8/2014 ",10021,10070,10101,9951
